fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[4.3071162549999995, 4.3071162549999995, 4.3071162549999995, 4.561552750000001, 7.712684219999998, 8.384097287999996, 11.06974956, 12.527649729000004, 30.147904200000024]","[3.9960189000000006, 4.886098383333333, 4.886098383333333, 4.886098383333333, 6.214436733333333, 8.964079333333332, 10.260625800000001, 34.60929207142858, 34.60929207142858]","[2.5833333333333335, 3.0588235294117645, 3.0588235294117645, 3.0588235294117645, 6.611111111111111, 6.611111111111111, 8.0, 9.045454545454545, 9.045454545454545]"
1,"[4.844776891304348, 4.844776891304348, 4.844776891304348, 4.844776891304348, 6.3864035999999995, 7.836858506666667, 7.836858506666667, 7.836858506666667, 10.622883825000011]","[4.842996475, 4.842996475, 4.842996475, 4.842996475, 4.842996475, 7.6411150999999995, 7.6411150999999995, 8.165871875, 8.165871875]","[3.675, 3.675, 3.675, 3.675, 4.447368421052632, 4.447368421052632, 4.447368421052632, 4.447368421052632, 7.2]"
2,"[3.7968599933333333, 4.643887783333334, 5.129438666666666, 5.129438666666666, 5.129438666666666, 5.129438666666666, 13.820728149999999, 13.820728149999999, 43.77525053333337]","[3.738146042857143, 3.953449, 4.504006875, 5.1658698, 5.1658698, 5.1658698, 5.304967375, 11.311464866666668, 11.311464866666668]","[2.5714285714285716, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 12.055555555555555, 12.055555555555555]"
3,"[3.4156451736842106, 3.4156451736842106, 3.4156451736842106, 6.140827798666668, 6.401279873333334, 6.401279873333334, 7.531129, 15.216653600000011, 27.392363550000017]","[3.511896825, 3.511896825, 3.537482609999999, 4.890413130909094, 5.224381463636363, 5.224381463636363, 5.224381463636363, 5.224381463636363, 10.08389692]","[2.823529411764706, 2.823529411764706, 2.823529411764706, 3.4583333333333335, 3.4583333333333335, 3.9, 4.0, 10.307692307692308, 10.307692307692308]"
4,"[2.934692225, 3.3442698, 3.52766212, 3.7169778650000005, 3.7169778650000005, 3.7169778650000005, 3.8495285790000002, 4.04835465, 6.066210160000001]","[2.897603236363637, 2.897603236363637, 2.897603236363637, 2.897603236363637, 4.319139, 4.780542416666667, 4.780542416666667, 6.247004966666668, 6.247004966666668]","[2.0, 2.0, 2.15, 2.25, 2.5, 2.75, 5.079999999999992, 5.95, 9.790000000000028]"
5,"[2.9837180857142864, 3.731082192857143, 3.731082192857143, 3.731082192857143, 3.731082192857143, 3.731082192857143, 4.888336750000001, 6.111154077333346, 9.928317168000019]","[3.647607233333333, 3.647607233333333, 3.647607233333333, 4.14909508, 4.35228535, 4.998538716666668, 4.998538716666668, 4.998538716666668, 6.016351303333339]","[1.75, 2.9444444444444446, 2.9444444444444446, 2.9444444444444446, 2.9444444444444446, 3.0833333333333335, 4.0, 6.5, 7.300000000000004]"
6,"[2.79415492, 2.79415492, 2.993740283333333, 2.993740283333333, 3.628857045, 3.628857045, 3.628857045, 3.628857045, 11.511537749999993]","[2.759284522222222, 2.7924297757777774, 2.9250107900000004, 3.2461440246666684, 3.727843876666667, 3.727843876666667, 3.727843876666667, 3.727843876666667, 3.727843876666667]","[1.6196428571428607, 2.6964285714285716, 2.6964285714285716, 2.6964285714285716, 2.6964285714285716, 2.6964285714285716, 2.892857142857143, 2.892857142857143, 2.892857142857143]"
7,"[3.067869336363636, 3.067869336363636, 3.1902384104545463, 3.599079555555556, 3.599079555555556, 3.599079555555556, 4.830853889166672, 5.944066139999999, 32.50128889999987]","[2.613560221428571, 2.613560221428571, 3.10429024, 3.61779846, 3.6361693499999994, 3.8832635279999996, 4.395010280000003, 4.9087463960000015, 5.623444185]","[1.9285714285714286, 2.3, 3.0500000000000007, 3.1666666666666665, 3.1666666666666665, 3.625, 3.7222222222222223, 6.877777777777796, 7.666666666666667]"
