fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[8.596026145454546, 8.596026145454546, 9.547400350000004, 9.951451342105264, 9.951451342105264, 9.951451342105264, 10.370870805263165, 18.106367916666667, 38.825104749999994]","[8.245233784533333, 8.462176655999999, 8.462176655999999, 8.462176655999999, 8.462176655999999, 12.541906370525991, 24.973607852631577, 24.973607852631577, 24.973607852631577]","[5.684210526315789, 5.684210526315789, 5.684210526315789, 5.936842105263159, 8.5, 10.636363636363637, 10.636363636363637, 10.636363636363637, 10.636363636363637]"
1,"[8.064671344186047, 8.064671344186047, 8.064671344186047, 8.064671344186047, 8.064671344186047, 8.064671344186047, 8.064671344186047, 8.064671344186047, 39.55946]","[7.896611217142857, 7.896611217142857, 7.896611217142857, 7.896611217142857, 7.896611217142857, 7.896611217142857, 7.896611217142857, 9.292439300000002, 66.6032206]","[4.905405405405405, 4.905405405405405, 4.905405405405405, 4.905405405405405, 4.905405405405405, 4.905405405405405, 4.905405405405405, 22.083333333333332, 22.083333333333332]"
2,"[6.360151875, 6.360151875, 7.523811379090903, 8.299584381818184, 8.299584381818184, 9.861154766666667, 43.562722599999994, 52.42558675, 70.739622125]","[7.26432672, 7.26432672, 7.7319660500000005, 7.7319660500000005, 18.973665, 33.325035373333336, 33.325035373333336, 34.10357491933333, 34.62260128333333]","[4.291666666666667, 4.291666666666667, 18.822580645161292, 18.822580645161292, 18.822580645161292, 18.822580645161292, 18.822580645161292, 18.822580645161292, 45.0]"
3,"[6.085139551999999, 7.239388759999999, 7.239388759999999, 7.280320845333333, 7.290553866666666, 7.290553866666666, 7.5495176, 27.882313666666665, 62.196960749999995]","[5.681001612500001, 7.0187721555555544, 7.0187721555555544, 7.0187721555555544, 7.0187721555555544, 11.747710217647061, 11.747710217647061, 11.747710217647061, 86.45559262500001]","[3.6875, 4.0, 4.0, 4.84375, 4.84375, 4.84375, 19.323529411764707, 19.323529411764707, 19.323529411764707]"
4,"[7.02374751, 7.02374751, 8.3254787, 8.3254787, 8.3254787, 14.157274999999998, 29.03064205833333, 29.03064205833333, 41.28081559999996]","[6.623053109999999, 6.623053109999999, 6.824760333333333, 8.178081536363637, 8.178081536363637, 29.366382663157896, 29.366382663157896, 29.366382663157896, 29.366382663157896]","[6.5, 6.5, 6.5, 6.5, 12.03125, 12.03125, 12.03125, 46.625, 56.62500000000006]"
5,"[8.580537211538461, 8.580537211538461, 8.580537211538461, 8.580537211538461, 8.580537211538461, 10.138637035714284, 10.138637035714284, 13.719304400000006, 35.08852419000005]","[7.13237965, 8.67476715393939, 9.634287384848486, 9.634287384848486, 9.634287384848486, 9.634287384848486, 9.634287384848486, 9.634287384848486, 14.3673595]","[4.5, 6.333333333333333, 6.8088235294117645, 6.8088235294117645, 6.8088235294117645, 6.8088235294117645, 6.8088235294117645, 6.8088235294117645, 23.5]"
6,"[8.171752433333333, 8.4084587375, 8.4084587375, 8.4084587375, 8.4084587375, 8.4084587375, 13.395214225000014, 54.027104800000004, 54.468160999999995]","[8.0696707275, 8.805227299999999, 8.921989142857141, 8.921989142857141, 13.888070028571423, 13.888070028571423, 29.65553664190483, 44.09338399999999, 44.09338399999999]","[3.8333333333333335, 10.153846153846153, 10.153846153846153, 10.153846153846153, 11.1, 11.1, 21.1875, 31.946590909090958, 34.63636363636363]"
7,"[7.3659194, 11.788993450000001, 11.788993450000001, 11.788993450000001, 11.788993450000001, 25.791802771428568, 30.936787200000012, 32.27989157142857, 44.83052249999999]","[5.0603441857142855, 9.672288063636362, 9.672288063636362, 9.672288063636362, 9.672288063636362, 11.382912, 26.023265944444447, 26.023265944444447, 43.74591825]","[3.3461538461538463, 3.3461538461538463, 4.967307692307703, 8.75, 8.75, 16.58823529411765, 16.58823529411765, 16.58823529411765, 16.58823529411765]"
