fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[4.9337184785714285, 4.9337184785714285, 5.587758841428576, 6.023785750000001, 6.9941569999999995, 7.849928099999999, 17.090702, 18.1380215, 41.0538454]","[4.981269335294119, 4.981269335294119, 4.981269335294119, 5.00676655, 5.00676655, 14.357026533333332, 14.357026533333332, 19.358294166666667, 32.1559308333334]","[3.5, 3.5, 3.5, 6.555555555555555, 6.555555555555555, 6.555555555555555, 6.555555555555555, 11.857142857142858, 54.875]"
1,"[4.588649515384615, 4.588649515384615, 4.6592978333333335, 4.747546833333334, 5.247751966666666, 5.247751966666666, 5.247751966666666, 5.9970785, 31.274841]","[4.102702266666666, 5.04936018, 5.660945770833334, 5.660945770833334, 5.660945770833334, 5.660945770833334, 5.660945770833334, 5.89290355, 10.182999200000346]","[3.5, 3.5, 3.5, 3.5, 3.5, 3.6333333333333364, 3.6666666666666665, 3.6666666666666665, 32.75]"
2,"[6.3035227, 6.461028799999999, 6.610248929166667, 6.610248929166667, 6.610248929166667, 6.610248929166667, 6.610248929166667, 12.249073875, 38.789965]","[6.102453818181818, 6.102453818181818, 6.102453818181818, 6.102453818181818, 8.064482313333334, 8.064482313333334, 8.064482313333334, 26.94180142222222, 26.94180142222222]","[3.96875, 3.96875, 3.96875, 4.5, 13.384615384615385, 13.384615384615385, 13.384615384615385, 17.03000000000001, 18.05]"
3,"[8.140491942499999, 8.140491942499999, 8.140491942499999, 8.140491942499999, 8.140491942499999, 8.140491942499999, 8.140491942499999, 8.140491942499999, 17.13657925]","[4.564207311111111, 8.889981231707317, 8.889981231707317, 8.889981231707317, 8.889981231707317, 8.889981231707317, 8.889981231707317, 8.889981231707317, 8.889981231707317]","[2.5714285714285716, 4.125, 8.416666666666666, 8.416666666666666, 8.416666666666666, 8.416666666666666, 8.737500000000002, 9.21875, 9.21875]"
4,"[5.461513288888888, 5.461513288888888, 5.461513288888888, 5.461513288888888, 5.461513288888888, 7.11247205, 7.11247205, 7.11247205, 39.070407]","[5.902382254761905, 5.902382254761905, 5.902382254761905, 5.902382254761905, 5.902382254761905, 5.902382254761905, 5.902382254761905, 6.492051601904763, 25.543009375]","[2.7600000000000007, 3.7142857142857144, 3.829464285714287, 3.90625, 3.90625, 4.074999999999998, 5.375, 16.7, 31.916666666666668]"
5,"[3.8520545625, 4.615360279999999, 5.738090166666668, 5.738090166666668, 5.738090166666668, 5.738090166666668, 5.738090166666668, 5.738090166666668, 42.964909999999996]","[4.726043013333334, 4.726043013333334, 4.726043013333334, 4.726043013333334, 4.726043013333334, 4.764036241666667, 4.764036241666667, 5.747489076666672, 7.421869240000001]","[2.8181818181818183, 2.8181818181818183, 3.2916666666666665, 3.2916666666666665, 3.6842105263157894, 3.6842105263157894, 3.6842105263157894, 3.6842105263157894, 7.142857142857143]"
6,"[3.9522077148148154, 3.9522077148148154, 3.9522077148148154, 3.9522077148148154, 3.9522077148148154, 4.645798988888888, 4.645798988888888, 6.1879246, 22.604751499999985]","[3.8204898571428574, 3.8204898571428574, 3.8204898571428574, 3.8204898571428574, 3.8204898571428574, 4.516303246857143, 5.591199233666677, 5.853065116666667, 6.434713879999999]","[2.1052631578947367, 2.1052631578947367, 2.1052631578947367, 2.1052631578947367, 3.0555555555555554, 3.0555555555555554, 4.666666666666667, 4.666666666666667, 4.666666666666667]"
7,"[6.365670629999999, 6.365670629999999, 6.365670629999999, 6.388022440857143, 6.421550157142858, 7.181169125, 12.658748254166689, 28.521409600000055, 44.66329216666666]","[6.253866726666668, 6.253866726666668, 6.377196958666671, 6.8485973, 6.8485973, 6.8485973, 15.93813194, 15.93813194, 22.714436625]","[2.8, 2.8, 3.25, 3.375, 3.6666666666666665, 4.833333333333333, 22.25, 27.857142857142858, 44.625]"
