fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,[9.951451342105264],[8.462176655999999],[8.5]
1,[8.064671344186047],[7.896611217142857],[4.905405405405405]
2,[8.299584381818184],[18.973665],[18.822580645161292]
3,[7.290553866666666],[7.0187721555555544],[4.84375]
4,[8.3254787],[8.178081536363637],[12.03125]
5,[8.580537211538461],[9.634287384848486],[6.8088235294117645]
6,[8.4084587375],[13.888070028571423],[11.1]
7,[11.788993450000001],[9.672288063636362],[8.75]
