fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,[7.712684219999998],[6.214436733333333],[6.611111111111111]
1,[6.3864035999999995],[4.842996475],[4.447368421052632]
2,[5.129438666666666],[5.1658698],[3.0]
3,[6.401279873333334],[5.224381463636363],[3.4583333333333335]
4,[3.7169778650000005],[4.319139],[2.5]
5,[3.731082192857143],[4.35228535],[2.9444444444444446]
6,[3.628857045],[3.727843876666667],[2.6964285714285716]
7,[3.599079555555556],[3.6361693499999994],[3.1666666666666665]
