fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[4.3071162549999995, 4.561552750000001, 8.384097288000007, 12.527649729000004]","[4.886098383333333, 4.886098383333333, 8.964079333333332, 34.60929207142858]","[3.0588235294117645, 3.0588235294117645, 6.611111111111111, 9.045454545454545]"
1,"[4.844776891304348, 4.844776891304348, 7.836858506666667, 7.836858506666667]","[4.842996475, 4.842996475, 7.6411150999999995, 8.165871875]","[3.675, 3.675, 4.447368421052632, 4.447368421052632]"
2,"[4.643887783333334, 5.129438666666666, 5.129438666666666, 13.820728149999999]","[3.953449, 5.1658698, 5.1658698, 11.311464866666668]","[3.0, 3.0, 3.0, 12.055555555555555]"
3,"[3.4156451736842106, 6.140827798666668, 6.401279873333334, 15.216653600000011]","[3.511896825, 4.890413130909094, 5.224381463636363, 5.224381463636363]","[2.823529411764706, 3.4583333333333335, 3.9, 10.307692307692308]"
4,"[3.3442698, 3.7169778650000005, 3.7169778650000005, 4.04835465]","[2.897603236363637, 2.897603236363637, 4.780542416666667, 6.247004966666668]","[2.0, 2.25, 2.75, 5.95]"
5,"[3.731082192857143, 3.731082192857143, 3.731082192857143, 6.111154077333346]","[3.647607233333333, 4.14909508, 4.998538716666668, 4.998538716666668]","[2.9444444444444446, 2.9444444444444446, 3.0833333333333335, 6.5]"
6,"[2.79415492, 2.993740283333333, 3.628857045, 3.628857045]","[2.7924297757777774, 3.2461440246666684, 3.727843876666667, 3.727843876666667]","[2.6964285714285716, 2.6964285714285716, 2.6964285714285716, 2.892857142857143]"
7,"[3.067869336363636, 3.599079555555556, 3.599079555555556, 5.944066139999999]","[2.613560221428571, 3.61779846, 3.8832635279999996, 4.9087463960000015]","[2.3, 3.1666666666666665, 3.625, 6.877777777777796]"
