fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[4.9337184785714285, 6.023785750000001, 7.849928099999999, 18.1380215]","[4.981269335294119, 5.00676655, 14.357026533333332, 19.358294166666667]","[3.5, 6.555555555555555, 6.555555555555555, 11.857142857142858]"
1,"[4.588649515384615, 4.747546833333334, 5.247751966666666, 5.9970785]","[5.04936018, 5.660945770833334, 5.660945770833334, 5.89290355]","[3.5, 3.5, 3.6333333333333364, 3.6666666666666665]"
2,"[6.461028799999999, 6.610248929166667, 6.610248929166667, 12.249073875]","[6.102453818181818, 6.102453818181818, 8.064482313333334, 26.94180142222222]","[3.96875, 4.5, 13.384615384615385, 17.03000000000001]"
3,"[8.140491942499999, 8.140491942499999, 8.140491942499999, 8.140491942499999]","[8.889981231707317, 8.889981231707317, 8.889981231707317, 8.889981231707317]","[4.125, 8.416666666666666, 8.416666666666666, 9.21875]"
4,"[5.461513288888888, 5.461513288888888, 7.11247205, 7.11247205]","[5.902382254761905, 5.902382254761905, 5.902382254761905, 6.492051601904763]","[3.7142857142857144, 3.90625, 4.0750000000000055, 16.7]"
5,"[4.615360279999999, 5.738090166666668, 5.738090166666668, 5.738090166666668]","[4.726043013333334, 4.726043013333334, 4.764036241666667, 5.747489076666672]","[2.8181818181818183, 3.2916666666666665, 3.6842105263157894, 3.6842105263157894]"
6,"[3.9522077148148154, 3.9522077148148154, 4.645798988888888, 6.1879246]","[3.8204898571428574, 3.8204898571428574, 4.51630324685715, 5.853065116666667]","[2.1052631578947367, 2.1052631578947367, 3.0555555555555554, 4.666666666666667]"
7,"[6.365670629999999, 6.388022440857143, 7.181169125, 28.521409600000055]","[6.253866726666668, 6.8485973, 6.8485973, 15.93813194]","[2.8, 3.375, 4.833333333333333, 27.857142857142858]"
