fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[8.596026145454546, 9.951451342105264, 9.951451342105264, 18.106367916666667]","[8.462176655999999, 8.462176655999999, 12.541906370525991, 24.973607852631577]","[5.684210526315789, 5.936842105263159, 10.636363636363637, 10.636363636363637]"
1,"[8.064671344186047, 8.064671344186047, 8.064671344186047, 8.064671344186047]","[7.896611217142857, 7.896611217142857, 7.896611217142857, 9.292439300000002]","[4.905405405405405, 4.905405405405405, 4.905405405405405, 22.083333333333332]"
2,"[6.360151875, 8.299584381818184, 9.861154766666667, 52.42558675]","[7.26432672, 7.7319660500000005, 33.325035373333336, 34.10357491933333]","[4.291666666666667, 18.822580645161292, 18.822580645161292, 18.822580645161292]"
3,"[7.239388759999999, 7.280320845333333, 7.290553866666666, 27.882313666666665]","[7.0187721555555544, 7.0187721555555544, 11.747710217647061, 11.747710217647061]","[4.0, 4.84375, 4.84375, 19.323529411764707]"
4,"[7.02374751, 8.3254787, 14.157274999999998, 29.03064205833333]","[6.623053109999999, 8.178081536363637, 29.366382663157896, 29.366382663157896]","[6.5, 6.5, 12.03125, 46.625]"
5,"[8.580537211538461, 8.580537211538461, 10.138637035714284, 13.719304400000006]","[8.67476715393939, 9.634287384848486, 9.634287384848486, 9.634287384848486]","[6.333333333333333, 6.8088235294117645, 6.8088235294117645, 6.8088235294117645]"
6,"[8.4084587375, 8.4084587375, 8.4084587375, 54.027104800000004]","[8.805227299999999, 8.921989142857141, 13.888070028571423, 44.09338399999999]","[10.153846153846153, 10.153846153846153, 11.1, 31.946590909090958]"
7,"[11.788993450000001, 11.788993450000001, 25.791802771428568, 32.27989157142857]","[9.672288063636362, 9.672288063636362, 11.382912, 26.023265944444447]","[3.3461538461538463, 8.75, 16.58823529411765, 16.58823529411765]"
