uid,E-CPV Error,E-CPV Uncertainty,E-MHA Error,E-MHA Uncertainty,S-MHA Error,S-MHA Uncertainty,Validation Fold,Testing Fold,E-CPV Uncertainty bins,E-MHA Uncertainty bins,S-MHA Uncertainty bins
PHD_2604,3.1622777,3.342410755157471,6.0827627,0.2186167001724243,5.0,0.5768586134576128,1,0,2,3,2
PHD_2615,5.3851647,3.175915789604187,5.8309517,0.5974861830472946,2.236068,0.7469892038986797,1,0,2,1,1
PHD_2622,3.6055512,2.321110248565674,2.236068,0.647882195294369,2.828427,1.002699052248381,1,0,0,1,0
PHD_2636,5.8309517,3.013475465774536,5.656854,0.8068105444312096,6.4031243,1.1223977483798655,1,0,1,0,0
PHD_2638,14.866069,46.91322250366211,7.071068,0.1173678224906325,6.4031243,0.4126205073156213,1,0,4,4,3
PHD_2641,11.0,12.765356636047365,4.472136,0.1513824993638309,5.0,0.3014441230651864,1,0,3,4,3
PHD_2643,4.1231055,5.136857795715332,8.062258,0.5008168160915375,11.045361,0.812663368888712,1,0,2,2,1
PHD_2659,6.708204,2.990811443328857,4.2426405,0.6631447618361562,8.602325,0.7781363662101045,1,0,1,0,1
PHD_2664,2.0,2.1798989534378053,2.236068,0.9426706731319427,1.4142135,1.084568792963844,1,0,0,0,0
PHD_2675,7.0,3.5121246814727782,8.246211,0.4813578262925148,5.0990195,0.9562920714963395,1,0,2,2,1
PHD_268,4.472136,2.6651584625244142,4.1231055,0.5710078299045562,2.236068,0.7542608862511406,1,0,1,1,1
PHD_2686,6.3245554,3.758434963226319,5.3851647,0.4952241688966751,4.0,0.7471893309081051,1,0,2,2,1
PHD_2688,1.4142135,2.246669054031372,2.236068,0.4244349956512451,1.0,0.5347296210498791,1,0,0,2,2
PHD_2690,11.18034,3.3255610704422,8.944272,0.4117976367473602,12.529964,0.1580812554732384,2,1,3,3,4
PHD_2692,5.3851647,1.64721360206604,7.071068,0.60250158123672,4.0,0.7546627994991403,2,1,0,1,3
PHD_2697,8.246211,3.072284960746765,8.062258,0.304790077265352,7.071068,0.1839272186400622,2,1,3,3,4
PHD_27,11.7046995,11.402283191680908,7.81025,0.0394540021952707,7.615773,0.0971611689705626,2,1,4,4,4
PHD_2701,7.28011,1.707463812828064,7.28011,0.899706494808197,7.615773,0.8362828268463987,2,1,0,0,2
PHD_2709,5.8309517,2.2809836626052857,5.8309517,0.532590314745903,5.656854,1.1362187943666036,2,1,1,2,0
PHD_2710,28.84441,18.99147644042969,40.804413,0.1036434760841075,15.652476,0.119632975799689,2,1,4,4,4
PHD_2716,13.601471,1.803952956199646,12.806249,0.5272116124629974,12.0415945,0.4015033743333787,2,1,0,2,4
PHD_272,7.071068,3.412013912200928,6.4031243,0.5101802766323089,4.2426405,0.7228042977932284,2,1,3,2,3
PHD_2724,8.062258,7.699369144439697,2.828427,0.1564260169863701,17.464249,0.2445460998318245,2,1,4,4,4
PHD_2726,2.0,2.7026466131210327,2.0,0.5522739559412002,3.0,0.97598376937104,2,1,3,2,1
PHD_2728,5.0990195,2.0,5.0,0.926621675491333,5.0990195,1.300699466809839,2,1,0,0,0
PHD_2731,7.615773,2.895741701126098,9.433981,0.6045966212637722,11.0,0.4654452164988529,2,1,3,1,4
PHD_2734,8.062258,1.5785844326019287,7.81025,0.4819549858570099,8.062258,0.7500043173078849,2,1,0,3,3
PHD_274,5.8309517,2.375410866737366,6.4031243,0.6012153863906861,7.81025,0.9151874311743936,2,1,2,1,1
PHD_2740,8.602325,1.6128990173339843,8.602325,0.8912210702896118,7.2111025,1.1144995903297028,2,1,0,0,0
