fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[4.3071162549999995, 11.06974956]","[4.886098383333333, 10.189020333333334]","[3.0588235294117645, 8.0]"
1,"[4.844776891304348, 7.836858506666667]","[4.842996475, 7.6411150999999995]","[3.675, 4.447368421052632]"
2,"[5.129438666666666, 13.820728149999999]","[5.1658698, 5.258601516666667]","[3.0, 3.0]"
3,"[3.4156451736842106, 6.401279873333334]","[3.5545397999999997, 5.224381463636363]","[2.88235294117647, 3.9]"
4,"[3.7169778650000005, 3.7169778650000005]","[2.897603236363637, 4.780542416666667]","[2.25, 4.5]"
5,"[3.731082192857143, 4.502585230952378]","[3.647607233333333, 4.998538716666668]","[2.9444444444444446, 3.833333333333332]"
6,"[2.993740283333333, 3.628857045]","[2.9250107900000004, 3.727843876666667]","[2.6964285714285716, 2.892857142857143]"
7,"[3.4757662500000004, 3.599079555555556]","[3.10429024, 4.04799298]","[3.1666666666666665, 3.7222222222222223]"
