fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[6.77511047538391, 6.77511047538391]","[6.291601027212299, 6.291601027212299]","[10.487762933591503, 10.487762933591503]"
1,"[7.6081080431171, 8.375126613622895]","[5.964576455636674, 7.682182606848781]","[7.040117080072754, 9.428274679784895]"
2,"[8.424898053342446, 9.171005424366747]","[6.824888635916094, 9.766564703119023]","[8.148900905385224, 10.14978579046424]"
3,"[6.108703339757761, 10.157358811413067]","[5.836057679227376, 5.836057679227376]","[6.199716390847914, 8.086695636191651]"
4,"[6.983651706747132, 6.983651706747132]","[6.630488903831508, 6.630488903831508]","[6.767063909386943, 6.767063909386943]"
5,"[4.630442718946627, 7.030472316051493]","[5.947549505101884, 5.947549505101884]","[5.717330092872177, 7.064417023227181]"
6,"[4.574479419604117, 4.574479419604117]","[3.433536485269898, 4.74662529405295]","[4.997952995944579, 5.887716354106246]"
7,"[3.960074319857808, 4.724662682193818]","[4.3970611281791605, 4.553420919254141]","[4.638754712757132, 5.111017819634838]"
