fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607]","[10.152346999449446, 10.152346999449446, 10.152346999449446, 24.154574255696485]","[9.84546219245731, 12.492718542541137, 12.492718542541137, 16.218199232185018]"
1,"[7.907579206952367, 7.907579206952367, 8.830701980435812, 8.830701980435812]","[9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234]","[7.76282967284644, 7.968623383158304, 7.968623383158304, 11.323435893276761]"
2,"[6.468180122392324, 7.421297769827116, 7.583983394285487, 7.76579726851068]","[6.251635348435745, 8.634859817968163, 8.634859817968163, 8.634859817968163]","[7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426]"
3,"[5.98188058182075, 6.379452323428138, 6.379452323428138, 18.44155647157838]","[6.708336769294749, 6.708336769294749, 6.785323035040552, 13.913000181177498]","[6.65685755851516, 7.993747813789328, 7.993747813789328, 8.473555260302243]"
4,"[9.550217181387486, 9.848833445043406, 9.866973090406807, 9.866973090406807]","[8.212055023618307, 8.53013755904582, 9.442582568885522, 9.442582568885522]","[9.532827065123591, 9.532827065123591, 11.379233829679162, 11.379233829679162]"
5,"[8.918118285169669, 8.918118285169669, 8.918118285169669, 10.071244460173158]","[8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358]","[9.888895168605798, 9.888895168605798, 9.888895168605798, 11.531473854151763]"
6,"[7.697583477150742, 7.938187327111206, 7.938187327111206, 10.001942859149205]","[6.524605347804377, 6.68743182069592, 6.883083079478121, 6.883083079478121]","[8.578117988346333, 8.596960005231734, 8.596960005231734, 8.633858351840784]"
7,"[7.542687366278354, 7.675449103064399, 7.675449103064399, 10.51301249788786]","[6.094009978109631, 6.496579572359774, 6.496579572359774, 7.724316652238066]","[5.653896721351079, 8.33328033627588, 8.33328033627588, 9.050281919554765]"
