fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,[16.811126168100607],[10.152346999449446],[12.492718542541137]
1,[7.907579206952367],[9.00636880170234],[7.968623383158304]
2,[7.583983394285487],[8.634859817968163],[7.950778572225426]
3,[6.379452323428138],[6.708336769294749],[7.993747813789328]
4,[9.866973090406807],[8.53013755904582],[10.091609572439888]
5,[8.918118285169669],[8.441808718343358],[9.888895168605798]
6,[7.938187327111206],[6.883083079478121],[8.596960005231734]
7,[7.675449103064399],[6.496579572359774],[8.33328033627588]
