fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,[5.81893632982151],[6.83606623569607],[23.212631361072866]
1,[7.038115035832141],[6.477814133635938],[20.089068192652594]
2,[4.4013684240536355],[4.884449990753703],[6.132844284560697]
3,[5.622698528083971],[4.106919547545527],[5.176674090566041]
4,[4.804731001225479],[4.044850316130667],[7.01536506688453]
5,[5.458835947906739],[4.19896145569696],[4.616530886451707]
6,[4.406597624084999],[3.2584844837765936],[5.370858377298947]
7,[4.021716343515133],[3.2541890202705233],[4.6123686368834775]
