fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,[6.77511047538391],[6.291601027212299],[10.487762933591503]
1,[7.6081080431171],[5.964576455636674],[8.550016044650167]
2,[8.424898053342446],[7.482439033395903],[8.211696597927146]
3,[6.108703339757761],[5.836057679227376],[7.66790028622867]
4,[6.983651706747132],[6.630488903831508],[6.767063909386943]
5,[6.704583884170692],[5.947549505101884],[7.064417023227181]
6,[4.574479419604117],[4.74662529405295],[5.887716354106246]
7,[4.486714765944022],[4.553420919254141],[5.111017819634838]
