fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[11.05099053830533, 11.05099053830533, 12.64092195598531, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 26.32155136795371, 29.086795901998464]","[10.152346999449446, 10.152346999449446, 10.152346999449446, 10.152346999449446, 10.152346999449446, 10.152346999449446, 10.152346999449446, 10.152346999449446, 10.152346999449446, 10.152346999449446, 10.152346999449446, 10.152346999449446, 11.087993192593784, 12.59922341448369, 24.154574255696485, 24.154574255696485, 24.154574255696485, 24.154574255696485, 24.154574255696485]","[9.627665489993035, 9.627665489993035, 9.627665489993035, 9.84546219245731, 10.136609787444513, 10.136609787444513, 10.136609787444513, 12.492718542541137, 12.492718542541137, 12.492718542541137, 12.492718542541137, 12.492718542541137, 12.492718542541137, 16.218199232185018, 16.218199232185018, 16.218199232185018, 16.218199232185018, 16.218199232185018, 20.288525440290343]"
1,"[7.907579206952367, 7.907579206952367, 7.907579206952367, 7.907579206952367, 7.907579206952367, 7.907579206952367, 7.907579206952367, 7.907579206952367, 7.907579206952367, 7.907579206952367, 7.907579206952367, 8.830701980435812, 8.830701980435812, 8.830701980435812, 8.830701980435812, 8.830701980435812, 8.830701980435812, 8.830701980435812, 25.446376211121684]","[7.074748520265251, 8.06329101791615, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 25.812442102068452]","[7.76282967284644, 7.76282967284644, 7.76282967284644, 7.76282967284644, 7.76282967284644, 7.76282967284644, 7.968623383158304, 7.968623383158304, 7.968623383158304, 7.968623383158304, 7.968623383158304, 7.968623383158304, 7.968623383158304, 8.081328782811092, 8.602325267042627, 11.323435893276761, 11.323435893276761, 11.323435893276761, 35.275836539002476]"
2,"[6.468180122392324, 6.468180122392324, 6.468180122392324, 6.468180122392324, 6.468180122392324, 7.421297769827116, 7.421297769827116, 7.421297769827116, 7.583983394285487, 7.583983394285487, 7.583983394285487, 7.583983394285487, 7.583983394285487, 7.583983394285487, 7.583983394285487, 7.76579726851068, 19.90524855590145, 20.128509814390416, 29.695278325070575]","[5.588988100656261, 5.588988100656261, 5.588988100656261, 6.251635348435745, 7.844298624529281, 8.634859817968163, 8.634859817968163, 8.634859817968163, 8.634859817968163, 8.634859817968163, 8.634859817968163, 8.634859817968163, 8.634859817968163, 8.634859817968163, 8.634859817968163, 8.634859817968163, 8.634859817968163, 8.634859817968163, 9.200866139229262]","[5.495610993501713, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 9.043904430780104, 44.599243401638944, 44.599243401638944]"
3,"[5.299421621315904, 5.299421621315904, 5.842526930547493, 5.98188058182075, 6.379452323428138, 6.379452323428138, 6.379452323428138, 6.379452323428138, 6.379452323428138, 6.379452323428138, 6.379452323428138, 6.379452323428138, 8.528626569564686, 8.660783211955849, 11.704699910719677, 18.44155647157838, 18.44155647157838, 18.44155647157838, 18.831529018526073]","[6.1649469556389445, 6.708336769294749, 6.708336769294749, 6.708336769294749, 6.708336769294749, 6.708336769294749, 6.708336769294749, 6.708336769294749, 6.708336769294749, 6.708336769294749, 6.708336769294749, 6.785323035040552, 7.093268098023654, 7.093268098023654, 7.093268098023654, 13.913000181177498, 18.45948823661338, 18.45948823661338, 18.45948823661338]","[6.65685755851516, 6.65685755851516, 6.65685755851516, 6.65685755851516, 6.65685755851516, 7.458991711679679, 7.993747813789328, 7.993747813789328, 7.993747813789328, 7.993747813789328, 7.993747813789328, 7.993747813789328, 7.993747813789328, 8.473555260302243, 8.473555260302243, 8.473555260302243, 8.473555260302243, 8.473555260302243, 44.483770157901326]"
4,"[9.35113967228354, 9.35113967228354, 9.35113967228354, 9.550217181387486, 9.848833445043406, 9.848833445043406, 9.848833445043406, 9.848833445043406, 9.848833445043406, 9.866973090406807, 9.866973090406807, 9.866973090406807, 9.866973090406807, 9.866973090406807, 9.866973090406807, 9.866973090406807, 9.866973090406807, 12.21839339797393, 18.6133742611582]","[7.562344275712941, 7.562344275712941, 7.562344275712941, 8.212055023618307, 8.53013755904582, 8.53013755904582, 8.53013755904582, 8.53013755904582, 8.53013755904582, 8.53013755904582, 9.077604564949647, 9.442582568885522, 9.442582568885522, 9.442582568885522, 9.442582568885522, 9.442582568885522, 9.442582568885522, 9.442582568885522, 20.03152217079022]","[7.721880793981936, 7.721880793981936, 9.335062401162318, 9.532827065123591, 9.532827065123591, 9.532827065123591, 9.532827065123591, 9.532827065123591, 9.532827065123591, 10.091609572439888, 10.091609572439888, 11.379233829679162, 11.379233829679162, 11.379233829679162, 11.379233829679162, 11.379233829679162, 11.826968238119598, 11.826968238119598, 15.793769104664506]"
5,"[8.918118285169669, 8.918118285169669, 8.918118285169669, 8.918118285169669, 8.918118285169669, 8.918118285169669, 8.918118285169669, 8.918118285169669, 8.918118285169669, 8.918118285169669, 8.918118285169669, 8.918118285169669, 10.071244460173158, 10.071244460173158, 10.071244460173158, 10.071244460173158, 10.071244460173158, 10.071244460173158, 28.771341634346435]","[7.264737731990704, 8.285330744656928, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.622150826671461, 9.343519259983879, 9.343519259983879]","[7.662563196929105, 7.662563196929105, 9.443628774270417, 9.888895168605798, 9.888895168605798, 9.888895168605798, 9.888895168605798, 9.888895168605798, 9.888895168605798, 9.888895168605798, 9.888895168605798, 9.888895168605798, 9.888895168605798, 9.888895168605798, 9.888895168605798, 11.531473854151763, 12.626526311182271, 15.449385155049654, 15.77556035747645]"
6,"[7.697583477150742, 7.697583477150742, 7.697583477150742, 7.697583477150742, 7.697583477150742, 7.697583477150742, 7.902096749617136, 7.938187327111206, 7.938187327111206, 7.938187327111206, 7.938187327111206, 7.938187327111206, 9.197368796289188, 10.001942859149205, 10.001942859149205, 10.001942859149205, 10.001942859149205, 14.500194285914946, 34.51406706963842]","[6.199315769542061, 6.415272348470003, 6.524605347804377, 6.524605347804377, 6.524605347804377, 6.524605347804377, 6.68743182069592, 6.68743182069592, 6.68743182069592, 6.883083079478121, 6.883083079478121, 6.883083079478121, 6.883083079478121, 6.883083079478121, 6.883083079478121, 6.883083079478121, 6.883083079478121, 8.863676980578225, 8.863676980578225]","[8.578117988346333, 8.578117988346333, 8.578117988346333, 8.578117988346333, 8.578117988346333, 8.596960005231734, 8.596960005231734, 8.596960005231734, 8.596960005231734, 8.596960005231734, 8.596960005231734, 8.596960005231734, 8.596960005231734, 8.622788847858068, 8.633858351840784, 8.633858351840784, 13.874427095604496, 13.874427095604496, 19.742621695699093]"
7,"[7.1934065343176545, 7.542687366278354, 7.542687366278354, 7.542687366278354, 7.542687366278354, 7.582515887314168, 7.675449103064399, 7.675449103064399, 7.675449103064399, 7.675449103064399, 7.675449103064399, 7.675449103064399, 7.675449103064399, 7.675449103064399, 8.190143635372264, 10.51301249788786, 14.103017174810393, 28.78387719172767, 47.4716853115439]","[4.806325357606034, 6.094009978109631, 6.094009978109631, 6.094009978109631, 6.094009978109631, 6.094009978109631, 6.496579572359774, 6.496579572359774, 6.496579572359774, 6.496579572359774, 6.496579572359774, 6.496579572359774, 6.496579572359774, 7.6917535883258195, 7.724316652238066, 7.724316652238066, 7.724316652238066, 7.724316652238066, 14.699165900965792]","[5.653896721351079, 5.653896721351079, 5.653896721351079, 5.653896721351079, 5.653896721351079, 7.861745988560756, 7.861745988560756, 8.33328033627588, 8.33328033627588, 8.33328033627588, 8.33328033627588, 8.33328033627588, 8.33328033627588, 9.050281919554765, 9.050281919554765, 9.050281919554765, 9.050281919554765, 9.050281919554765, 20.494500740365197]"
