fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[5.089438509540927, 5.089438509540927, 5.673036765765395, 5.81893632982151, 5.81893632982151, 5.81893632982151, 5.81893632982151, 5.81893632982151, 5.81893632982151, 5.81893632982151, 9.069410516922774, 11.236393308323597, 11.236393308323597, 11.236393308323597, 11.236393308323597, 11.236393308323597, 11.87257265225451, 11.87257265225451, 19.10613293917634]","[5.913166256526631, 5.913166256526631, 5.913166256526631, 5.913166256526631, 6.232102715746405, 6.232102715746405, 6.589295439473952, 6.589295439473952, 6.83606623569607, 6.83606623569607, 6.83606623569607, 6.900584323789238, 7.158656676161983, 7.9835519682454645, 12.289384892858275, 12.289384892858275, 12.289384892858275, 14.484514081269994, 48.41913774514767]","[19.83325863998673, 19.83325863998673, 19.83325863998673, 19.83325863998673, 23.212631361072866, 23.212631361072866, 23.212631361072866, 23.212631361072866, 23.212631361072866, 23.212631361072866, 23.212631361072866, 23.212631361072866, 24.111263894852918, 24.335922028297908, 24.335922028297908, 24.335922028297908, 30.79370974273006, 35.58644899229768, 36.32938186026349]"
1,"[2.9818616595847436, 4.070367516975993, 4.274806729301081, 4.274806729301081, 4.274806729301081, 5.490338073722595, 5.490338073722595, 7.038115035832141, 7.038115035832141, 7.038115035832141, 7.5113305497953755, 7.5938096480441395, 9.36593658548587, 9.998424377104895, 10.352169184430576, 10.352169184430576, 11.647899664186669, 11.647899664186669, 13.341896826932935]","[6.477814133635938, 6.477814133635938, 6.477814133635938, 6.477814133635938, 6.477814133635938, 6.477814133635938, 6.477814133635938, 6.477814133635938, 6.477814133635938, 6.477814133635938, 6.477814133635938, 6.477814133635938, 6.477814133635938, 6.477814133635938, 8.084232376573425, 8.822908174322993, 9.315358706156038, 9.315358706156038, 10.209647362717964]","[20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594, 20.089068192652594]"
2,"[3.306806670161977, 3.306806670161977, 3.900969139469514, 4.4013684240536355, 4.4013684240536355, 4.4013684240536355, 4.4013684240536355, 4.4013684240536355, 4.4013684240536355, 4.4013684240536355, 5.779473449310087, 5.779473449310087, 5.779473449310087, 6.288524718646698, 6.288524718646719, 10.509806807305226, 12.905529850664283, 12.905529850664283, 21.053907271203233]","[3.869384441354927, 4.884449990753703, 4.884449990753703, 4.884449990753703, 4.884449990753703, 4.884449990753703, 4.884449990753703, 4.884449990753703, 4.884449990753703, 4.884449990753703, 4.884449990753703, 5.3262725701332245, 7.093562887651254, 7.093562887651254, 7.093562887651254, 7.093562887651254, 11.989536438083771, 11.989536438083771, 11.989536438083771]","[4.951649039637626, 5.9497205542720835, 5.9497205542720835, 5.9497205542720835, 5.9497205542720835, 5.9497205542720835, 5.9497205542720835, 5.9497205542720835, 5.9497205542720835, 6.132844284560697, 6.265286229539518, 6.353580859525398, 6.353580859525398, 8.030279983868645, 8.030279983868645, 8.030279983868645, 8.030279983868645, 16.014465608317312, 28.741582528185987]"
3,"[2.618033988749895, 2.864911064067352, 2.864911064067352, 4.513064181662056, 4.513064181662056, 4.513064181662056, 4.513064181662056, 4.513064181662056, 5.622698528083971, 5.622698528083971, 5.622698528083971, 5.622698528083971, 5.622698528083971, 5.622698528083971, 5.622698528083971, 5.622698528083971, 5.622698528083971, 8.092128459593779, 8.092128459593779]","[3.7471786279919175, 3.989354734775746, 3.989354734775746, 3.989354734775746, 3.989354734775746, 3.989354734775746, 3.989354734775746, 3.989354734775746, 3.989354734775746, 4.106919547545527, 4.106919547545527, 4.106919547545527, 4.106919547545527, 4.106919547545527, 4.106919547545527, 4.106919547545527, 5.311534537887305, 9.11898004318365, 9.11898004318365]","[4.976625474054143, 4.976625474054143, 4.976625474054143, 4.976625474054143, 4.976625474054143, 4.976625474054143, 4.976625474054143, 4.976625474054143, 5.130081344382087, 5.176674090566041, 5.176674090566041, 6.058265422847676, 6.1336124587367165, 8.424268259138973, 8.666157448207239, 8.666157448207239, 8.666157448207239, 8.666157448207239, 17.77188002458868]"
4,"[4.728950095055666, 4.732526648950187, 4.767503845437283, 4.767503845437283, 4.804731001225479, 4.804731001225479, 4.804731001225479, 4.804731001225479, 4.804731001225479, 4.804731001225479, 4.804731001225479, 5.284345308633445, 5.284345308633445, 5.284345308633445, 5.284345308633445, 5.284345308633445, 5.284345308633445, 5.284345308633445, 5.970607185180077]","[2.4808757748535357, 2.644080973089385, 2.644080973089385, 2.644080973089385, 2.644080973089385, 2.644080973089385, 2.644080973089385, 2.644080973089385, 2.644080973089385, 4.044850316130667, 4.044850316130667, 4.044850316130667, 4.044850316130667, 4.044850316130667, 4.044850316130667, 4.139728250640135, 4.20298020697978, 4.20298020697978, 4.20298020697978]","[7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453, 7.01536506688453]"
5,"[4.677813656173877, 4.677813656173877, 4.677813656173877, 4.677813656173877, 4.677813656173877, 4.677813656173877, 4.677813656173877, 4.677813656173877, 4.806688193704322, 5.458835947906739, 5.458835947906739, 5.458835947906739, 5.458835947906739, 5.458835947906739, 5.458835947906739, 5.458835947906739, 5.458835947906739, 5.585906297032504, 5.585906297032504]","[2.35483170074866, 3.830005363994425, 3.830005363994425, 3.830005363994425, 3.830005363994425, 4.19896145569696, 4.19896145569696, 4.19896145569696, 4.19896145569696, 4.19896145569696, 4.19896145569696, 4.19896145569696, 4.19896145569696, 4.19896145569696, 4.404992078783746, 4.404992078783746, 4.404992078783746, 4.404992078783746, 4.404992078783746]","[3.1223800264828463, 3.8091994207799136, 3.8091994207799136, 3.8091994207799136, 4.616530886451707, 4.616530886451707, 4.616530886451707, 4.616530886451707, 4.616530886451707, 4.616530886451707, 6.83016845963473, 6.83016845963473, 6.83016845963473, 6.83016845963473, 6.83016845963473, 6.83016845963473, 6.83016845963473, 6.83016845963473, 6.83016845963473]"
6,"[3.992242630356303, 3.992242630356303, 3.992242630356303, 3.992242630356303, 4.086227832813746, 4.117556233632894, 4.117556233632894, 4.406597624084999, 4.406597624084999, 4.406597624084999, 4.406597624084999, 4.406597624084999, 4.406597624084999, 4.406597624084999, 4.406597624084999, 4.406597624084999, 4.467687046184716, 6.619370068540044, 9.251917144465068]","[3.2584844837765936, 3.2584844837765936, 3.2584844837765936, 3.2584844837765936, 3.2584844837765936, 3.2584844837765936, 3.2584844837765936, 3.2584844837765936, 3.2584844837765936, 3.2584844837765936, 3.2584844837765936, 3.2584844837765936, 3.2584844837765936, 3.2584844837765936, 3.2584844837765936, 3.5361379171265126, 4.131104027720307, 5.024060076579805, 5.057791823235646]","[3.605551275463989, 4.623953443745633, 4.623953443745633, 4.623953443745633, 4.623953443745633, 4.623953443745633, 5.0139205103843025, 5.082738228026389, 5.370858377298947, 5.370858377298947, 5.370858377298947, 5.370858377298947, 5.370858377298947, 5.370858377298947, 5.370858377298947, 5.370858377298947, 5.370858377298947, 5.370858377298947, 5.370858377298947]"
7,"[3.589561822268011, 3.589561822268011, 3.589561822268011, 4.021716343515133, 4.021716343515133, 4.021716343515133, 4.021716343515133, 4.021716343515133, 4.021716343515133, 4.021716343515133, 4.021716343515133, 4.021716343515133, 4.021716343515133, 4.021716343515133, 4.1181216015795865, 4.407337375772935, 4.407337375772935, 4.407337375772935, 5.815139994869038]","[2.4433467913726368, 2.4629568256597225, 2.4629568256597225, 2.4629568256597225, 2.4629568256597225, 3.2541890202705233, 3.2541890202705233, 3.2541890202705233, 3.2541890202705233, 3.2541890202705233, 3.2541890202705233, 3.2541890202705233, 3.2541890202705233, 3.2541890202705233, 3.2541890202705233, 3.2541890202705233, 4.1480533210438075, 5.808087022479891, 5.808087022479891]","[3.605551275463989, 4.6123686368834775, 4.6123686368834775, 4.6123686368834775, 4.6123686368834775, 4.6123686368834775, 4.6123686368834775, 4.6123686368834775, 4.6123686368834775, 4.6123686368834775, 5.085699534144243, 5.085699534144243, 5.085699534144243, 5.085699534144243, 5.085699534144243, 5.085699534144243, 5.085699534144243, 5.438842980853736, 5.438842980853736]"
