fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[11.05099053830533, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 16.811126168100607, 26.32155136795371]","[10.152346999449446, 10.152346999449446, 10.152346999449446, 10.152346999449446, 10.152346999449446, 10.152346999449446, 12.59922341448369, 24.154574255696485, 24.154574255696485]","[9.627665489993035, 9.84546219245731, 10.136609787444513, 12.492718542541137, 12.492718542541137, 12.492718542541137, 16.218199232185018, 16.218199232185018, 16.218199232185018]"
1,"[7.907579206952367, 7.907579206952367, 7.907579206952367, 7.907579206952367, 7.907579206952367, 8.830701980435812, 8.830701980435812, 8.830701980435812, 8.830701980435812]","[8.06329101791615, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234, 9.00636880170234]","[7.76282967284644, 7.76282967284644, 7.76282967284644, 7.968623383158304, 7.968623383158304, 7.968623383158304, 8.081328782811092, 11.323435893276761, 11.323435893276761]"
2,"[6.468180122392324, 6.468180122392324, 7.421297769827116, 7.421297769827116, 7.583983394285487, 7.583983394285487, 7.583983394285487, 7.76579726851068, 20.128509814390416]","[5.588988100656261, 6.251635348435745, 8.634859817968163, 8.634859817968163, 8.634859817968163, 8.634859817968163, 8.634859817968163, 8.634859817968163, 8.634859817968163]","[7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 7.950778572225426, 44.599243401638944]"
3,"[5.299421621315904, 5.98188058182075, 6.379452323428138, 6.379452323428138, 6.379452323428138, 6.379452323428138, 8.660783211955849, 18.44155647157838, 18.44155647157838]","[6.708336769294749, 6.708336769294749, 6.708336769294749, 6.708336769294749, 6.708336769294749, 6.785323035040552, 7.093268098023654, 13.913000181177498, 18.45948823661338]","[6.65685755851516, 6.65685755851516, 7.458991711679679, 7.993747813789328, 7.993747813789328, 7.993747813789328, 8.473555260302243, 8.473555260302243, 8.473555260302243]"
4,"[9.35113967228354, 9.550217181387486, 9.848833445043406, 9.848833445043406, 9.866973090406807, 9.866973090406807, 9.866973090406807, 9.866973090406807, 12.21839339797393]","[7.562344275712941, 8.212055023618307, 8.53013755904582, 8.53013755904582, 8.53013755904582, 9.442582568885522, 9.442582568885522, 9.442582568885522, 9.442582568885522]","[7.721880793981936, 9.532827065123591, 9.532827065123591, 9.532827065123591, 10.091609572439888, 11.379233829679162, 11.379233829679162, 11.379233829679162, 11.826968238119598]"
5,"[8.918118285169669, 8.918118285169669, 8.918118285169669, 8.918118285169669, 8.918118285169669, 8.918118285169669, 10.071244460173158, 10.071244460173158, 10.071244460173158]","[8.285330744656928, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 8.441808718343358, 9.343519259983879]","[7.662563196929105, 9.888895168605798, 9.888895168605798, 9.888895168605798, 9.888895168605798, 9.888895168605798, 9.888895168605798, 11.531473854151763, 15.449385155049654]"
6,"[7.697583477150742, 7.697583477150742, 7.697583477150742, 7.938187327111206, 7.938187327111206, 7.938187327111206, 10.001942859149205, 10.001942859149205, 14.500194285914917]","[6.415272348470003, 6.524605347804377, 6.524605347804377, 6.68743182069592, 6.883083079478121, 6.883083079478121, 6.883083079478121, 6.883083079478121, 8.863676980578225]","[8.578117988346333, 8.578117988346333, 8.596960005231734, 8.596960005231734, 8.596960005231734, 8.596960005231734, 8.622788847858068, 8.633858351840784, 13.874427095604496]"
7,"[7.542687366278354, 7.542687366278354, 7.582515887314168, 7.675449103064399, 7.675449103064399, 7.675449103064399, 7.675449103064399, 10.51301249788786, 28.783877191727576]","[6.094009978109631, 6.094009978109631, 6.094009978109631, 6.496579572359774, 6.496579572359774, 6.496579572359774, 7.6917535883258195, 7.724316652238066, 7.724316652238066]","[5.653896721351079, 5.653896721351079, 7.861745988560756, 8.33328033627588, 8.33328033627588, 8.33328033627588, 9.050281919554765, 9.050281919554765, 9.050281919554765]"
