fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[6.77511047538391, 6.77511047538391, 6.77511047538391, 6.77511047538391, 6.77511047538391, 6.77511047538391, 6.77511047538391, 11.561935240317645, 24.919990119908128]","[5.065234959004522, 5.065234959004522, 6.291601027212299, 6.291601027212299, 6.291601027212299, 6.291601027212299, 6.291601027212299, 9.62024788821174, 33.53222431766876]","[7.250623499962777, 7.250623499962777, 9.915943525965497, 10.487762933591503, 10.487762933591503, 10.487762933591503, 10.487762933591503, 10.487762933591503, 10.487762933591503]"
1,"[7.6081080431171, 7.6081080431171, 7.6081080431171, 7.6081080431171, 7.6081080431171, 8.375126613622895, 8.375126613622895, 8.375126613622895, 8.993469236691867]","[5.6594954663457875, 5.964576455636674, 5.964576455636674, 5.964576455636674, 5.964576455636674, 5.964576455636674, 7.682182606848781, 8.072077284716876, 8.246629023923761]","[7.040117080072754, 7.040117080072754, 7.040117080072754, 7.040117080072754, 8.550016044650167, 8.550016044650167, 9.428274679784895, 9.428274679784895, 10.621704411396351]"
2,"[6.769757689092069, 8.424898053342446, 8.424898053342446, 8.424898053342446, 8.424898053342446, 8.424898053342446, 9.544059109878905, 10.663928133760066, 25.810210515695395]","[6.65305779718841, 6.65305779718841, 6.824888635916094, 6.824888635916094, 7.482439033395903, 9.766564703119023, 9.766564703119023, 10.139609030464996, 10.139609030464996]","[7.340600530172591, 7.340600530172591, 8.148900905385224, 8.148900905385224, 8.211696597927146, 9.405592723927159, 10.14978579046424, 10.14978579046424, 16.115655699852063]"
3,"[5.975510053423649, 5.975510053423649, 6.055426025224117, 6.108703339757761, 6.108703339757761, 8.059276768352872, 14.408298545296184, 14.408298545296184, 18.390680557716475]","[5.836057679227376, 5.836057679227376, 5.836057679227376, 5.836057679227376, 5.836057679227376, 5.836057679227376, 5.836057679227376, 5.912635173550407, 25.501158233739847]","[6.199716390847914, 6.199716390847914, 6.199716390847914, 6.199716390847914, 7.66790028622867, 8.086695636191651, 8.086695636191651, 21.611118612256238, 21.611118612256238]"
4,"[5.242689249154819, 6.372447992833077, 6.983651706747132, 6.983651706747132, 6.983651706747132, 6.983651706747132, 6.983651706747132, 6.983651706747132, 7.803650367992854]","[6.630488903831508, 6.630488903831508, 6.630488903831508, 6.630488903831508, 6.630488903831508, 6.630488903831508, 6.693513518131737, 6.788050439582074, 7.065389564651296]","[6.767063909386943, 6.767063909386943, 6.767063909386943, 6.767063909386943, 6.767063909386943, 6.767063909386943, 6.767063909386943, 7.672954945728758, 8.07421303497094]"
5,"[4.586538285842618, 4.586538285842618, 4.586538285842618, 5.053753666387588, 6.704583884170692, 6.704583884170692, 7.193416531991894, 7.193416531991894, 7.193416531991894]","[3.8727046509007828, 5.947549505101884, 5.947549505101884, 5.947549505101884, 5.947549505101884, 5.947549505101884, 5.947549505101884, 5.947549505101884, 5.947549505101884]","[4.656411162227257, 5.717330092872177, 5.717330092872177, 5.717330092872177, 7.064417023227181, 7.064417023227181, 7.064417023227181, 7.064417023227181, 7.064417023227181]"
6,"[4.574479419604117, 4.574479419604117, 4.574479419604117, 4.574479419604117, 4.574479419604117, 4.574479419604117, 4.574479419604117, 5.149234453735577, 6.4969535117434685]","[3.433536485269898, 3.433536485269898, 3.433536485269898, 4.74662529405295, 4.74662529405295, 4.74662529405295, 4.74662529405295, 4.74662529405295, 5.7502629412527115]","[4.997952995944579, 4.997952995944579, 4.997952995944579, 4.997952995944579, 5.887716354106246, 5.887716354106246, 5.887716354106246, 10.482868645340703, 10.482868645340703]"
7,"[3.960074319857808, 3.960074319857808, 3.960074319857808, 4.380052425771528, 4.486714765944022, 4.486714765944022, 4.724662682193818, 4.724662682193818, 8.236753236814709]","[4.3970611281791605, 4.3970611281791605, 4.3970611281791605, 4.3970611281791605, 4.553420919254141, 4.553420919254141, 4.553420919254141, 5.966039839194626, 7.304685497311587]","[4.638754712757132, 4.638754712757132, 4.638754712757132, 5.111017819634838, 5.111017819634838, 5.111017819634838, 5.541260672948612, 6.979563415432885, 6.979563415432885]"
