fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[13.943046231914504, 22.888013950384895]","[17.17539578219292, 19.354641528049676]","[33.83231798020234, 33.83231798020234]"
1,"[16.64986067443881, 21.853801074110514]","[10.832275290612136, 19.38059136034035]","[32.729696502320856, 42.53801177777008]"
2,"[13.501879835190762, 23.899939149488358]","[13.811453470782906, 13.811453470782906]","[24.4565773459992, 24.4565773459992]"
3,"[13.88802902224691, 26.678747446840482]","[13.816492390523566, 17.11988284974069]","[21.214891390135254, 28.842958850611264]"
