fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[10.32074909848978, 11.498649222418447]","[11.13243388619827, 13.76028016316047]","[14.259335689656526, 15.977961270714665]"
1,"[10.910374373607509, 26.725456757728633]","[10.406857484288606, 16.42828335254789]","[17.502953319364572, 19.06215505901095]"
2,"[9.427817642473965, 9.875321633072302]","[8.997758201182696, 13.262458645827115]","[12.115447342580893, 22.718510657424396]"
3,"[7.384093423152281, 9.558185439836059]","[8.46635288500667, 10.560508646861491]","[12.829214744205544, 25.936506081297345]"
