fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[18.406295369615723, 19.609378776480995]","[17.921313119930385, 21.828645409222318]","[22.26435734701761, 22.26435734701761]"
1,"[15.065636794540678, 15.065636794540678]","[16.37562842349714, 19.235336031386876]","[22.001130210389423, 22.001130210389423]"
2,"[13.425996534751091, 13.425996534751091]","[11.483250487462417, 11.483250487462417]","[17.92632497623949, 18.993763193532473]"
3,"[13.148122624794983, 13.148122624794983]","[11.599664276817249, 11.599664276817249]","[18.425579294068758, 28.402282848432307]"
