fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[10.433546738581635, 13.011314474311924]","[9.615089105273567, 11.662752339509689]","[10.492777200670234, 15.746215471595544]"
1,"[10.266289766486167, 13.229250888939651]","[10.64625087042317, 12.682762103384562]","[17.20610327307029, 23.92813789181941]"
2,"[9.196558494161346, 9.196558494161346]","[8.677773752527369, 10.272552526168004]","[10.898375521858929, 11.215848423727596]"
3,"[9.260143797007325, 9.260143797007325]","[9.029241652700456, 9.917979704373652]","[10.777680037948862, 10.777680037948862]"
