fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[11.939309399586769, 11.939309399586769]","[12.936421976220101, 13.204987010125533]","[13.065559948200299, 13.520254446472512]"
1,"[11.164394809851863, 11.83207054248325]","[11.81305036735088, 14.28018642816847]","[21.188944350229363, 21.188944350229363]"
2,"[12.928154969701978, 12.928154969701978]","[10.844960187886048, 13.338218514826213]","[16.970727596149494, 18.41837978434718]"
3,"[11.843450500368517, 14.553853587080393]","[10.368340031455212, 12.265010863046104]","[13.183387648458718, 13.207219898404981]"
