fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[9.288376736993063, 11.273204254233866]","[9.464773784631044, 9.464773784631044]","[10.254421584278822, 11.833496693823696]"
1,"[8.36018488000124, 8.36018488000124]","[6.7322323327802955, 8.353344589924221]","[15.460943008616756, 15.89937678621658]"
2,"[6.773214145266287, 6.773214145266287]","[5.977679464270723, 6.998060573396613]","[8.845475604066623, 8.845475604066623]"
3,"[6.330506653829459, 6.902124284535576]","[6.8529477176904185, 7.629532888298756]","[8.800221125538986, 12.017790834841731]"
