fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[12.754962672070963, 13.106672041789592]","[13.684851676653127, 13.847930612148616]","[24.072044716519294, 24.072044716519294]"
1,"[10.973156813484508, 19.8891884407657]","[10.636038508129097, 14.619103701527921]","[34.72187159391978, 34.72187159391978]"
2,"[11.870045344607046, 12.704186023276565]","[12.854768287246777, 14.577663823264588]","[18.29881577021656, 19.430419367513604]"
3,"[9.734426159446828, 12.129626055700001]","[10.07225682242701, 10.07225682242701]","[16.030311560626117, 16.31880203545285]"
