fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[16.681001839631744, 16.681001839631744]","[15.593136935167431, 15.593136935167431]","[18.75941083737992, 18.75941083737992]"
1,"[17.814143979314345, 23.641796758211385]","[11.14261173734358, 15.820495309994177]","[55.3622020494864, 55.3622020494864]"
2,"[14.739469821816423, 26.518776265056577]","[13.650378354469384, 14.257251755380082]","[22.77934609320205, 28.00191174380989]"
3,"[11.953814615063308, 22.199363960328387]","[10.783791043331613, 13.633033123224905]","[22.676124138143045, 27.162502812794713]"
