fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[11.842721814034785, 13.340270510761826]","[11.385379142185794, 13.80675759769138]","[12.746287938973687, 24.14118416265894]"
1,"[10.013466368333859, 10.013466368333859]","[9.543531054402399, 12.846657157675024]","[11.484758012502004, 16.21085962011157]"
2,"[9.431065550389707, 11.75854734026218]","[10.10927555793322, 14.95185424348396]","[12.939938274341293, 21.597859196580703]"
3,"[8.715748704214366, 11.38183289298352]","[9.170363783812052, 12.713062616494167]","[13.103580619116446, 17.930514862211396]"
