fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[15.745687602903146, 22.03295659757962]","[13.203770853276824, 16.62854312698464]","[17.487124410981753, 20.355254817734856]"
1,"[13.641223177145536, 21.884834696624267]","[14.062619052964667, 14.51816872833469]","[19.774807920949815, 54.738876073661906]"
2,"[9.921126935391847, 18.00139686683426]","[10.429401012001, 12.199541596540204]","[15.269078856504773, 18.274036481815145]"
3,"[11.427302790525095, 11.427302790525095]","[10.047535276921348, 11.711704844641579]","[10.373156844931597, 17.401951237162617]"
