fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[10.398837423213502, 21.71913956282424]","[15.77043607960509, 17.511295400453662]","[12.239365088480893, 27.350568150318004]"
1,"[9.187915491513877, 13.866829409987332]","[9.797106128806952, 15.995839211454541]","[14.277948405795366, 16.38576335175997]"
2,"[8.089057515422661, 14.673695383297622]","[8.743904401601789, 15.998566219505832]","[15.507216504186784, 16.04752475989537]"
3,"[13.324289369662717, 15.138547985271876]","[10.613068276206285, 17.948011401198293]","[15.361067474756009, 19.553770040672717]"
