fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[10.856872092614319, 10.856872092614319]","[10.243448355804865, 10.243448355804865]","[9.574838356096961, 13.030715667614734]"
1,"[23.170562043148426, 24.87295953507265]","[14.882623617667763, 18.580904393180063]","[65.68072187952434, 65.68072187952434]"
2,"[10.361383629152906, 10.361383629152906]","[11.04083641897109, 11.61884295592683]","[14.99350490893081, 15.472422939587114]"
3,"[7.764458681963669, 11.582419948184313]","[8.680797745307151, 11.59977257976913]","[9.069822108362033, 12.411249998318137]"
