fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[9.935490043479298, 13.329950344694959]","[10.223460930236662, 11.318340283400245]","[12.72000673224171, 15.81173495379422]"
1,"[9.349655615990205, 11.466722954372528]","[10.100462561911721, 10.100462561911721]","[9.959802157525093, 11.499221100396028]"
2,"[10.904547481386079, 11.095779337339094]","[9.18101117569375, 9.18101117569375]","[13.554728156566409, 17.02692076911354]"
3,"[8.159869700868887, 8.803817547544456]","[7.5881745828168805, 9.829699831388625]","[11.415256519624064, 11.415256519624064]"
