fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[4.3071162549999995, 4.3071162549999995, 4.3071162549999995, 4.3071162549999995, 4.3071162549999995, 4.3071162549999995, 4.3071162549999995, 4.561552750000001, 7.712684219999998, 7.712684219999998, 7.712684219999998, 8.384097288000007, 11.06974956, 11.06974956, 11.06974956, 12.527649729000004, 13.499583175, 30.147904200000024, 62.92008466666667]","[3.9960189000000006, 3.9960189000000006, 3.9960189000000006, 4.886098383333333, 4.886098383333333, 4.886098383333333, 4.886098383333333, 4.886098383333333, 6.214436733333333, 6.214436733333333, 6.214436733333333, 8.964079333333332, 9.944032133333334, 10.260625800000001, 10.368034, 34.60929207142858, 34.60929207142858, 34.60929207142858, 56.3300685]","[2.5833333333333335, 2.5833333333333335, 3.0588235294117645, 3.0588235294117645, 3.0588235294117645, 3.0588235294117645, 3.0588235294117645, 3.0588235294117645, 4.035294117647148, 6.611111111111111, 6.611111111111111, 6.611111111111111, 7.722222222222225, 8.0, 9.045454545454545, 9.045454545454545, 9.045454545454545, 9.045454545454545, 10.22727272727274]"
1,"[4.844776891304348, 4.844776891304348, 4.844776891304348, 4.844776891304348, 4.844776891304348, 4.844776891304348, 4.844776891304348, 4.844776891304348, 6.3864035999999995, 6.3864035999999995, 7.836858506666667, 7.836858506666667, 7.836858506666667, 7.836858506666667, 7.836858506666667, 7.836858506666667, 8.393059125, 10.622883825000011, 18.779259900000024]","[4.815738605, 4.842996475, 4.842996475, 4.842996475, 4.842996475, 4.842996475, 4.842996475, 4.842996475, 4.842996475, 4.842996475, 7.6411150999999995, 7.6411150999999995, 7.6411150999999995, 7.6411150999999995, 8.027693, 8.165871875, 8.165871875, 8.165871875, 11.755731400000013]","[3.1666666666666665, 3.675, 3.675, 3.675, 3.675, 3.675, 3.675, 3.675, 3.675, 4.447368421052632, 4.447368421052632, 4.447368421052632, 4.447368421052632, 4.447368421052632, 4.447368421052632, 4.447368421052632, 7.2, 7.2, 10.299999999999983]"
2,"[3.591299933333333, 3.7968599933333333, 4.6191002333333335, 4.643887783333334, 4.643887783333334, 5.129438666666666, 5.129438666666666, 5.129438666666666, 5.129438666666666, 5.129438666666666, 5.129438666666666, 5.129438666666666, 13.820728149999999, 13.820728149999999, 13.820728149999999, 13.820728149999999, 19.279635499999998, 43.77525053333337, 55.61175440000016]","[3.738146042857143, 3.738146042857143, 3.738146042857143, 3.953449, 4.504006875, 4.504006875, 5.1658698, 5.1658698, 5.1658698, 5.1658698, 5.1658698, 5.1658698, 5.1658698, 5.304967375, 11.311464866666668, 11.311464866666668, 11.311464866666668, 11.311464866666668, 11.311464866666668]","[2.5714285714285716, 2.5714285714285716, 2.5714285714285716, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 11.500000000000004, 12.055555555555555, 12.055555555555555, 12.055555555555555, 88.43333333333341]"
3,"[3.4156451736842106, 3.4156451736842106, 3.4156451736842106, 3.4156451736842106, 3.4156451736842106, 3.4156451736842106, 3.53251613894737, 6.140827798666668, 6.401279873333334, 6.401279873333334, 6.401279873333334, 6.401279873333334, 6.401279873333334, 7.531129, 7.7598123333333335, 15.216653600000011, 24.33796975, 27.392363550000017, 41.8229055]","[3.511896825, 3.511896825, 3.511896825, 3.511896825, 3.511896825, 3.537482609999999, 3.5545397999999997, 4.890413130909094, 5.224381463636363, 5.224381463636363, 5.224381463636363, 5.224381463636363, 5.224381463636363, 5.224381463636363, 5.224381463636363, 5.224381463636363, 10.08389692, 10.08389692, 10.08389692]","[2.823529411764706, 2.823529411764706, 2.823529411764706, 2.823529411764706, 2.823529411764706, 2.823529411764706, 3.091666666666667, 3.4583333333333335, 3.4583333333333335, 3.4583333333333335, 3.4583333333333335, 3.9, 3.9, 4.0, 10.307692307692308, 10.307692307692308, 10.307692307692308, 10.307692307692308, 10.307692307692308]"
4,"[2.504347495, 2.934692225, 3.3442698, 3.3442698, 3.52766212, 3.52766212, 3.7169778650000005, 3.7169778650000005, 3.7169778650000005, 3.7169778650000005, 3.7169778650000005, 3.7169778650000005, 3.7169778650000005, 3.8495285790000002, 4.04835465, 4.04835465, 5.198413833333333, 6.066210160000001, 14.559084100000023]","[2.1595695, 2.897603236363637, 2.897603236363637, 2.897603236363637, 2.897603236363637, 2.897603236363637, 2.897603236363637, 2.897603236363637, 2.897603236363637, 4.319139, 4.59598105, 4.780542416666667, 4.780542416666667, 4.780542416666667, 4.780542416666667, 6.247004966666668, 6.247004966666668, 6.247004966666668, 6.247004966666668]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.15, 2.25, 2.25, 2.5, 2.5, 2.6500000000000004, 2.75, 4.5, 5.079999999999992, 5.95, 5.95, 5.95, 9.790000000000028, 10.75]"
5,"[2.9837180857142864, 2.9837180857142864, 3.731082192857143, 3.731082192857143, 3.731082192857143, 3.731082192857143, 3.731082192857143, 3.731082192857143, 3.731082192857143, 3.731082192857143, 3.731082192857143, 3.731082192857143, 3.731082192857143, 4.888336750000001, 5.024879333333334, 6.111154077333346, 6.835337239999999, 9.928317168000019, 30.197104400000143]","[2.5322475, 3.647607233333333, 3.647607233333333, 3.647607233333333, 3.647607233333333, 3.647607233333333, 3.647607233333333, 4.14909508, 4.14909508, 4.35228535, 4.797769110000018, 4.998538716666668, 4.998538716666668, 4.998538716666668, 4.998538716666668, 4.998538716666668, 4.998538716666668, 6.016351303333339, 6.27080445]","[1.75, 1.75, 1.9500000000000095, 2.9444444444444446, 2.9444444444444446, 2.9444444444444446, 2.9444444444444446, 2.9444444444444446, 2.9444444444444446, 2.9444444444444446, 3.0833333333333335, 3.0833333333333335, 3.4166666666666687, 4.0, 4.00000000000002, 6.5, 6.5, 7.300000000000004, 33.0]"
6,"[2.5664957260000003, 2.79415492, 2.79415492, 2.79415492, 2.9438439425, 2.993740283333333, 2.993740283333333, 2.993740283333333, 2.993740283333333, 3.628857045, 3.628857045, 3.628857045, 3.628857045, 3.628857045, 3.628857045, 3.628857045, 3.628857045, 11.51153775000003, 33.53019485000007]","[2.759284522222222, 2.759284522222222, 2.759284522222222, 2.7924297757777774, 2.9250107900000004, 2.9250107900000004, 2.9250107900000004, 3.2461440246666684, 3.727843876666667, 3.727843876666667, 3.727843876666667, 3.727843876666667, 3.727843876666667, 3.727843876666667, 3.727843876666667, 3.727843876666667, 3.727843876666667, 3.727843876666667, 3.727843876666667]","[1.3, 1.6196428571428607, 2.6964285714285716, 2.6964285714285716, 2.6964285714285716, 2.6964285714285716, 2.6964285714285716, 2.6964285714285716, 2.6964285714285716, 2.6964285714285716, 2.6964285714285716, 2.6964285714285716, 2.725892857142857, 2.892857142857143, 2.892857142857143, 2.892857142857143, 2.892857142857143, 2.892857142857143, 6.025000000000013]"
7,"[3.04015854, 3.067869336363636, 3.067869336363636, 3.067869336363636, 3.067869336363636, 3.1902384104545436, 3.580582559722223, 3.599079555555556, 3.599079555555556, 3.599079555555556, 3.599079555555556, 3.599079555555556, 3.599079555555556, 4.830853889166672, 5.358757175, 5.944066139999999, 5.944066139999999, 32.50128889999987, 64.21388795000011]","[2.613560221428571, 2.613560221428571, 2.613560221428571, 2.613560221428571, 2.613560221428571, 3.10429024, 3.10429024, 3.61779846, 3.6361693499999994, 3.6361693499999994, 3.6361693499999994, 3.8832635279999996, 4.04799298, 4.395010280000003, 4.5437319800000004, 4.9087463960000015, 5.32275585, 5.623444185, 62.275626499999994]","[1.9285714285714286, 1.9285714285714286, 2.1666666666666665, 2.3, 2.3, 3.049999999999999, 3.1666666666666665, 3.1666666666666665, 3.1666666666666665, 3.1666666666666665, 3.625, 3.625, 3.7222222222222223, 3.7222222222222223, 3.7222222222222223, 6.877777777777796, 7.666666666666667, 7.666666666666667, 10.950000000000003]"
